Course,Course Name,Type,IDEAs in Action Gen Ed,Prerequisites,Credit Hours
BUSI 583,Applied Investment Management,Elective,HI-PERFORM,"Prereqs: BUSI 407, BUSI 408",3 (repeatable)
BUSI 584,Financial Modeling,Elective,None,Prereq: BUSI 408,3
BUSI 585,Introduction to Real Estate,Elective,None,None,3
BUSI 586,Personal Finance,Elective,None,Prereq: BUSI 408,1.5
BUSI 587,Investment Banking,Elective,None,Prereq: BUSI 408,1.5
BUSI 588,Intro to Derivative Securities,Elective,None,Prereq: BUSI 408,1.5
BUSI 589,Fixed Income,Elective,None,Prereq: BUSI 408,1.5
BUSI 590,Business Seminar,Elective,None,None,3
BUSI 591,Behavioral Finance,Elective,None,Prereq: BUSI 408,1.5
BUSI 592,Applied Private Equity: Real Estate,Elective,HI-PERFORM,"Prereqs: BUSI 408, BUSI 601, BUSI 603",3
BUSI 597,Sustainable Finance,Elective,None,Prereq: BUSI 408,1.5
BUSI 598,Alternative Investments,Elective,None,Prereqs: BUSI 408 and (BUSI 580 or BUSI 588),1.5
BUSI 600,Risk Management,Elective,None,Prereq: BUSI 408,1.5
BUSI 601,Real Estate Finance,Elective,None,Prereq: BUSI 408,1.5
BUSI 602,Strategic Economics,Elective,None,None,1.5
BUSI 603,Real Estate Development,Elective,None,Prereq: BUSI 408; Co-req: BUSI 585,1.5
BUSI 604,Real Estate & Capital Markets,Elective,None,Prereq: BUSI 408,1.5
BUSI 605,Real Estate Capstone,Elective,None,"Prereqs: BUSI 601, BUSI 603, BUSI 604; Pre- or coreqs: BUSI 408, 585",3
BUSI 606,Buyout Structures and Deals,Elective,None,Prereq: BUSI 408,1.5
BUSI 607,Inside the Capital Markets,Elective,None,Prereq: BUSI 408,1.5
BUSI 608,Intro to FinTech (Blockchain),Elective,None,Recommended prep: BUSI 408 (no formal prereq),1.5
BUSI 610,Global Environment of Business,Elective,None,None,3
BUSI 611,International Development,Elective,None,None,3
BUSI 617,Global Marketing,Elective,None,Prereq: BUSI 406,3
BUSI 618,Global Financial Markets,Elective,None,Prereq: BUSI 408,1.5
BUSI 625,Global Healthcare Management,Elective,None,None,1.5
BUSI 626,Introduction to Healthcare Management,Elective,None,None,1.5
BUSI 627,Healthcare Brand Plan,Elective,None,None,1.5
BUSI 653,Applied Learning: Symposium Core Committee,Elective,None,Permission of the department,1.5 (repeatable)
BUSI 688,Applied Trading Strategies,Elective,None,"Prereqs: BUSI 408, BUSI 588",1.5
BUSI 691H,Honors Research Proposal,Elective,RESEARCH,Senior BUSI majors (3.5 BUSI GPA),3
BUSI 692H,Honors Thesis,Elective,RESEARCH,Prereq: BUSI 691H,3
