id,code,subject,catalog nbr,section,class nbr,course title,component,units,topics,Bldg,room,days,time,Instructor,Class Enrl Cap,Class Enrl Tot,Class Wait Cap,Class Wait Tot,Class Min Enrl
10467,AAAD 288,AAAD,288,1,13687,GLOBAL BLACK POPULAR CULTURES,Lecture(In Person On Campus Learners),3,A, Gardner Hall,7, MW , 15:35 - 16:50,"["" Camara,Samba""]",31,31,999,0,0
10468,AAAD 303,AAAD,303,1,13688,ISLAMIC CULTURE,CONTEMP(In Person On Campus Learners),AFRICALecture 3,A, Stone Center,209, MWF , 10:10 - 11:00,"["" Camara,Samba""]",28,26,999,0,0
10469,AAAD 320,AAAD,320,1,13689,INTRODUCTION TO AFRICAN MUSIC,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TuTh , 09:30 - 10:45,"["" PIER,DAVID""]",12,4,999,0,0
10470,AAAD 340,AAAD,340,1,14645,DIASPORA ART,Lecture(In Person On Campus Learners),3,A, Stone Center,210, TuTh , 12:30 - 13:45,"["" JORDAN,JOSEPH F""]",14,6,999,0,0
10471,AAAD 356,AAAD,356,1,11309,HISTORY OF HIP-HOP,Lecture(In Person On Campus Learners),3,A, Phillips Hall,247, TuTh , 15:30 - 16:45,"["" Massenburg,Christopher Dion""]",40,40,999,15,0
10472,AAAD 391,AAAD,391,1,10274,HUM. DEV. & SUSTAINABILITY,Lecture(In Person On Campus Learners),3,A, Stone Center,209, TuTh , 11:00 - 12:15,"["" Hudani,Shakirah""]",40,40,999,0,0
10473,AAAD 392,AAAD,392,1,13690,STRUGGLES TO SHAPE THE CITY,Lecture(In Person On Campus Learners),3,A, Phillips Hall,328, MW , 13:25 - 14:40,"["" Hudani,Shakirah""]",40,30,999,0,0
10474,AAAD 395,AAAD,395,1,7217,RESEARCH SEMINAR,Lecture(In Person On Campus Learners),3,A, Murphey Hall,105, TuTh , 09:30 - 10:45,"["" SAHLE,EUNICE N""]",20,5,999,0,0
10475,AAAD 421,AAAD,421,1,8197,LANGUAGES OF AFRICA,Lecture(In Person On Campus Learners),3,A, Dey Hall,210, MW , 15:35 - 16:50,"["" Mwamzandi,Mohamed Yusuf""]",20,12,999,0,0
10476,AAAD 430,AAAD,430,1,13692,AFRI AMER INTELLECTUAL HIST,Lecture(In Person On Campus Learners),3,A, Hanes Art Center,116, TuTh , 08:00 - 09:15,"["" JANKEN,KENNETH R""]",20,8,999,0,0
10477,AAAD 466,AAAD,466,1,12053,RACE/GENDER ATLANTIC WORLD,Lecture(In Person On Campus Learners),3,A, Murphey Hall,302, Tu , 15:30 - 18:00,"["" Monroe,Alicia Lenis""]",20,9,999,0,0
10478,AAAD 490,AAAD,490,1,13693,COLLOQUIUM IN AAAD STUDIES,Lecture(In Person On Campus Learners),3,A, Hanes Art Center,118, TuTh , 11:00 - 12:15,"["" Brimmer,Brandi Clay""]",20,4,999,0,0
10479,SWAH 401,SWAH,401,2,7568,ELEM KISWAHILI I,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Mwamzandi,Mohamed Yusuf""]",12,9,999,0,0
10480,SWAH 403,SWAH,403,2,4313,INTERMED KISWAHILI III,Lecture(In Person On Campus Learners),3,A, Mitchell Hall, 121A , MWF , 10:10 - 11:00,"["" Mwamzandi,Mohamed Yusuf""]",9,4,999,0,0
10481,SWAH 405,SWAH,405,1,7608,KISWAHILI V,Lecture(In Person On Campus Learners),3,A, Graham Memorial,210, MWF , 09:05 - 09:55,"["" Mwamzandi,Mohamed Yusuf""]",24,1,999,0,0
10482,WOLO 401,WOLO,401,1,8198,ELEM WOLOF I,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Camara,Samba""]",6,0,999,0,0
10483,WOLO 403,WOLO,403,1,8847,WOLOF III,Lecture(In Person On Campus Learners),3,A, TBA, TBA , MWF , 11:15 - 12:05,"["" Camara,Samba""]",7,2,999,0,0
10484,YORU 401,YORU,401,1,17478,ELEMENTARY YORUBA I,Lecture(Remote Only - Synchronous),3,A, TBA, TBA , MWF , 11:15 - 12:05,"["" Staff""]",24,2,0,0,0
10485,YORU 403,YORU,403,1,12814,INTERMEDIATE YORUBA III,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Staff""]",8,3,999,0,0
10486,AERO 101,AERO,101,2,15348,HERITAGE AND VALUES OF USAF,Lecture(In Person On Campus Learners),1,A, TBA, TBA , TBA , TBA,"["" Staff""]",999,0,0,0,0
10487,AERO 196,AERO,196,3,3826,INDEPENDENT STUDY,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",10,0,999,0, 0 0021
10488,AERO 201,AERO,201,1,3827,LEADERSHIP FUNDAMENTALS,Lecture(In Person On Campus Learners),1,A, TBA, TBA , Tu , 09:30 - 10:20,"["" Vihlen,Brie Hudson""]",24,11,999,0,0
10489,AERO 213,AERO,213,1,10142,AIR POWER,Lecture(In Person On Campus Learners),3,A, Davie Hall,112, MWF , 14:30 - 15:20,"["" CADDELL,JOSEPH W""]",6,6,999,0,0
10490,AERO 301,AERO,301,1,11855,LDRSHP & EFFECTIVE COMM,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TuTh , 11:00 - 12:15,"["" Rodriguez,Juan Antonio""]",999,6,999,0,0
10491,AERO 393,AERO,393,1,11069,FIELD TRAINING,Lecture(In Person On Campus Learners),1,A, TBA, TBA , TBA , TBA,"["" Vihlen,Brie Hudson""]",999,2,999,0,0
10492,AERO 402,AERO,402,1,11286,AF OFF CON AMER SOC,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Staff""]",32,0,999,0,0
10493,AERO 500,AERO,500,401,3828,LEADERSHIP LAB,Lab(In Person On Campus Learners),0,A, TBA, TBA , Th , 08:30 - 10:30,"["" Vihlen,Brie Hudson""]",90,21,999,0,0
10494,AMST 60,AMST,60,1,14581,"FYS: INDIAN HIST, LAW, LIT",Lecture(In Person On Campus Learners),3,A, Greenlaw Hall,317, MWF , 10:10 - 11:00,"["" COBB,DANIEL M""]",19,19,0,0,0
10495,AMST 101,AMST,101,604,10160,"THIS PLACE CALLED ""AMERICA""",Recitation(In Person On Campus Learners),3,A, Davie Hall,101, F , 13:25 - 14:15,"["" Staff""]",35,35,999,2,0
10496,AMST 110,AMST,110,607,8149,NATIVE NORTH AMERICA,Recitation(In Person On Campus Learners),3,A, Peabody Hall,3018, F , 13:25 - 14:15,"["" Staff""]",6,6,999,0,0
10497,AMST 175,AMST,175,1,7866,INTRO TO FOOD STUDIES,Lecture(In Person On Campus Learners),3,A, Murphey Hall,116, TuTh , 15:30 - 16:45,"["" Alexander,Kelly"","" Smith,Lindsey Patricia""]",50,49,999,25,0
10498,AMST 202,AMST,202,1,12119,HIST APPROACHES AMER STUDIES,Lecture(In Person On Campus Learners),3,A, Gardner Hall,210, MWF , 10:10 - 11:00,"["" Dalton,Khalil Nyla""]",11,10,999,0,0
10499,AMST 210,AMST,210,1,9101,"THIS PLACE CALLED ""THE SOUTH""",Lecture(In Person On Campus Learners),3,A, Davie Hall,101, MWF , 09:05 - 09:55,"["" Faircloth,Zachary Hart""]",21,21,999,0,0
10500,AMST 211,AMST,211,1,12122,SOUTHERN STUDIES LITCULT,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TuTh , 14:00 - 15:15,"["" Staff""]",25,25,999,2,0
10501,AMST 251,AMST,251,1,14889,JEWISH AM EXPERIENCE,Lecture(In Person On Campus Learners),3,A, Mitchell Hall,9, TuTh , 12:30 - 13:45,"["" Katz,Emily""]",14,14,999,0,0
10502,AMST 255,AMST,255,604,14764,DIFFER & POWER AMER CULTURE,Recitation(In Person On Campus Learners),3,A, Dey Hall,204, F , 14:30 - 15:20,"["" Staff""]",9,4,999,0,0
10503,AMST 268,AMST,268,1,12690,AMER CINEMA AND CULTURE,Lecture(In Person On Campus Learners),3,A, Dey Hall,205, TuTh , 15:30 - 16:45,"["" Royle Jr,Tony Matthew""]",21,21,999,0,0
10504,AMST 315,AMST,315,1,14942,PRIVACY AND SURVEILLANCE,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TuTh , 14:00 - 15:15,"["" MARR,TIMOTHY W""]",24,24,999,4,0
10505,AMST 353,AMST,353,1,12588,SOUTHEAST ASIAN NC,Lecture(In Person On Campus Learners),3,A, Phillips Hall,224, MWF , 10:10 - 11:00,"["" BUTLER,BECKY A""]",15,15,999,0,0
10506,AMST 375,AMST,375,1,12131,CRIT FOOD STUDIES: SOUTH,Lecture(In Person On Campus Learners),3,A, Greenlaw Hall,318, TuTh , 12:30 - 13:45,"["" Alexander,Kelly""]",25,18,999,0,0
10507,AMST 396,AMST,396,3,9915,INDEP STDY AMST,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Staff""]",2,0,999,0,0
10508,AMST 483,AMST,483,1,14423,VISUAL ARTS AND CULTURE,Lecture(In Person On Campus Learners),3,A, Davie Hall,101, Tu , 15:35 - 18:35,"["" ROBINSON,MIRIAM MICHELLE""]",25,18,999,0,0
10509,AMST 493,AMST,493,1,8233,INTERNSHIP,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",2,0,999,0,0
10510,AMST 700,AMST,700,1,10153,HISTORY & PRACTICE AMST,Lecture(In Person On Campus Learners),3,A, Murphey Hall,117, W , 15:30 - 18:30,"["" ROBINSON,MIRIAM MICHELLE""]",12,3,999,0,0
10511,AMST 820,AMST,820,1,14606,CRITICAL ETHNIC STUDIES (CES),Lecture(In Person On Campus Learners),3,A, Murphey Hall,117, M , 15:35 - 18:35,"["" HOLLAND,SHARON PATRICIA""]",12,6,999,0,0
10512,AMST 878,AMST,878,1,12132,NATIVE AMERICAN READINGS,Lecture(In Person On Campus Learners),3,A, Hamilton Hall,570, Th , 18:00 - 20:30,"["" Escobar,Raquel Lynn""]",4,3,999,0,0
10513,AMST 895,AMST,895,10,11516,DIRECTED READINGS,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Staff""]",2,0,999,0,0
10514,AMST 901,AMST,901,2,8739,MA RESEARCH SEMINAR,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Staff""]",1,0,999,0,0
10515,AMST 903,AMST,903,1,10154,COMPEXAMS AND DISSERTATION,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Staff""]",12,0,999,0,0
10516,AMST 993,AMST,993,3,8738,MASTER'S RESEARCH AND THESIS,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" SAWIN,PATRICIA E""]",5,0,999,0,0
10517,AMST 994,AMST,994,10,14419,DOCT RESEARCH,AND(In Person On Campus Learners),DISSERTATIONLecture 3,A, TBA, TBA , TBA , TBA,"["" Staff""]",999,0,999,0,0
10518,FOLK 89,FOLK,89,1,14588,FYS: SPECIAL TOPICS,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Staff""]",21,21,0,0,0
10519,FOLK 202,FOLK,202,604,12138,EVERYDAY CULTURES,Recitation(In Person On Campus Learners),3,A, Davie Hall,101, F , 14:30 - 15:20,"["" Staff""]",9,8,999,0,0
10520,FOLK 370,FOLK,370,1,10089,DESCENDANTS PROJECT,Lecture(In Person On Campus Learners),4,A, Alumni Bldg,203, TuTh , 11:00 - 12:15,"["" HINSON,GLENN D""]",5,1,999,0,0
10521,FOLK 481,FOLK,481,1,14613,JEWISH MATERIAL CULTURE,Lecture(In Person On Campus Learners),3,A, Dey Hall,203, TuTh , 12:30 - 13:45,"["" Berlinger,Gabrielle Anna""]",15,15,999,2,0
10522,FOLK 496,FOLK,496,1,12685,DIRECTED READINGS,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Staff""]",5,0,999,0,0
10523,FOLK 502,FOLK,502,1,13527,MYTHS/ANCI N EAST,Lecture(In Person On Campus Learners),3,A, Hanes Art Center,215, TuTh , 09:30 - 10:45,"["" LAM,JOSEPH C""]",5,5,999,0,0
10524,FOLK 790,FOLK,790,1,14425,PUBLIC FOLKLORE,Lecture(In Person On Campus Learners),3,A, New East,305, TuTh , 14:00 - 15:15,"["" HINSON,GLENN D""]",12,8,999,0,0
10525,FOLK 850,FOLK,850,1,14424,FOLKLORE THEORY,Lecture(In Person On Campus Learners),3,A, Greenlaw Hall, 526A , Tu , 15:35 - 18:35,"["" Berlinger,Gabrielle Anna""]",10,4,999,0,0
10526,FOLK 895,FOLK,895,2,8471,DIRECTED READINGS,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Staff""]",1,0,999,0,0
10527,FOLK 900,FOLK,900,1,9723,DIRECTED STUDIES,Lecture(In Person On Campus Learners),0.5 - 15,A, TBA, TBA , TBA , TBA,"["" Staff""]",1,0,999,0,0
10528,FOLK 993,FOLK,993,2,5898,MASTER'S RESEARCH AND THESIS,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" SAWIN,PATRICIA E""]",7,1,999,0,0
10529,ANTH 62,ANTH,62,1,8542,FYS INDIAN COUNTRY TODAY,Lecture(In Person On Campus Learners),3,A, Alumni Bldg,205, MWF , 11:15 - 12:05,"["" LAMBERT,VALERIE L""]",21,21,0,0,0
10530,ANTH 67,ANTH,67,1,13460,BLACKNESS AND RACIALIZATION,Lecture(In Person On Campus Learners),3,A, Alumni Bldg,205, MWF , 14:30 - 15:20,"["" PRICE,CHARLES R""]",21,21,0,0,0
10531,ANTH 72,ANTH,72,1,15063,ARCH & POP CULTURE,Lecture(In Person On Campus Learners),3,A, Alumni Bldg,203, TuTh , 08:00 - 09:15,"["" Smit,Douglas Karel""]",22,22,0,0,0
10532,ANTH 89,ANTH,89,1,10660,FYS: SPECIAL TOPICS,Lecture(In Person On Campus Learners),3,A, Alumni Bldg,205, TuTh , 12:30 - 13:45 ANTHROPOLOGY OF MOVI,"["" NELSON,CHRISTOPHER T""]",22,22,0,0,0
10533,ANTH 101,ANTH,101,609,7966,GEN ANTHROPOLOGY,Recitation(In Person On Campus Learners),3,A, Hanes Art Center,117, W , 16:40 - 17:30,"["" Staff""]",7,7,999,0,0
10534,ANTH 123,ANTH,123,609,13561,HABITAT & HUMANITY,Recitation(In Person On Campus Learners),3,A, Alumni Bldg,308, M , 13:25 - 14:15,"["" Staff""]",20,20,999,5,0
10535,ANTH 145,ANTH,145,615,10653,WORLD PREHISTORY,Recitation(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Staff""]",20,0,999,0,0
10536,ANTH 147,ANTH,147,612,13558,COMP HEALING SYSTEM,Recitation(In Person On Campus Learners),3,A, Alumni Bldg,308, Th , 14:00 - 14:50,"["" Scolaro,Emily""]",18,18,999,0,0
10537,ANTH 148,ANTH,148,606,10641,HUMAN ORIGINS,Recitation(In Person On Campus Learners),3,A, Alumni Bldg,404, F , 13:25 - 14:15,"["" Staff""]",8,5,999,0,0
10538,ANTH 195,ANTH,195,89,9922,RES IN ANTH I,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",1,0,999,0,0
10539,ANTH 202,ANTH,202,604,12479,EVERYDAY CULTURES,Recitation(In Person On Campus Learners),3,A, Davie Hall,101, F , 14:30 - 15:20,"["" Staff""]",5,5,999,0,0
10540,ANTH 204,ANTH,204,606,15071,ANTHROPOLOGY OF DRUGS,Recitation(In Person On Campus Learners),3,A, Alumni Bldg,308, W , 14:30 - 15:20,"["" Onyeka,Augusta Obianuju""]",18,18,999,0,0
10541,ANTH 220,ANTH,220,1,10658,PRINCIPLES OF ARCH,Lecture(In Person On Campus Learners),3,A, Alumni Bldg,203, MWF , 11:15 - 12:05,"["" BILLMAN,BRIAN R""]",24,24,999,3,0
10542,ANTH 231,ANTH,231,1,13455,INCA AND THEIR ANCESTORS,Lecture(In Person On Campus Learners),3,A, Chapman Hall,201, MWF , 14:30 - 15:20,"["" BILLMAN,BRIAN R""]",118,118,999,5,0
10543,ANTH 232,ANTH,232,1,11717,ANCESTRAL MAYA CIV,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" MCANANY,PATRICIA A""]",24,24,999,2,0
10544,ANTH 250,ANTH,250,1,11719,ARCHAEOLOGY OF NORTH AMERICA,Lecture(In Person On Campus Learners),3,A, Chapman Hall,211, MWF , 12:20 - 13:10,"["" STEPONAITIS,VINCAS P""]",58,41,999,0,0
10545,ANTH 252,ANTH,252,1,8264,ARCHAEOLOGY OF FOOD,Lecture(In Person On Campus Learners),3,A, Alumni Bldg,207, TuTh , 12:30 - 13:45,"["" Briggs,Rachel Virginia""]",32,32,999,38,0
10546,ANTH 270,ANTH,270,609,13586,LIVING MEDICINE,Recitation(In Person On Campus Learners),3,A, Alumni Bldg,308, M , 17:45 - 18:35,"["" Clingenpeel,Kaitlyn Anneliese""]",16,16,999,0,0
10547,ANTH 277,ANTH,277,1,11713,GENDER AND CULTURE,Lecture(In Person On Campus Learners),3,A, Gardner Hall,1, TuTh , 11:00 - 12:15,"["" Briggs,Rachel Virginia""]",32,32,999,1,0
10548,ANTH 280,ANTH,280,606,13517,ANTH OF WAR AND PEACE,Recitation(In Person On Campus Learners),3,A, Alumni Bldg,203, W , 16:40 - 17:30,"["" Staff""]",11,11,999,1,0
10549,ANTH 291,ANTH,291,1,7119,ARCHAEOLOGICAL THEORY,Lecture(In Person On Campus Learners),3,A, Alumni Bldg,205, TuTh , 11:00 - 12:15,"["" ARBUCKLE,BENJAMIN S""]",24,24,999,7,0
10550,ANTH 295,ANTH,295,36,9277,RES IN ANTH II,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",2,0,999,0,0
10551,ANTH 296,ANTH,296,1,11616,IND STUDY ANTH II,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",999,0,999,0,0
10552,ANTH 315,ANTH,315,1,7562,HUMAN GENETICS,Lecture(In Person On Campus Learners),3,A, Alumni Bldg,203, TuTh , 12:30 - 13:45,"["" Hilton,Charles Edward""]",25,25,999,4,0
10553,ANTH 318,ANTH,318,609,13571,HUM GROWTH DEVELOP,Recitation(In Person On Campus Learners),3,A, Alumni Bldg,308, Tu , 17:00 - 17:50,"["" Kroll,Camille""]",11,7,999,0,0
10554,ANTH 326,ANTH,326,1,14976,PRACTICING MED ANTHROPOLOGY,Lecture(In Person On Campus Learners),3,A, Alumni Bldg,205, TuTh , 09:30 - 10:45,"["" KING,MARTHA E""]",18,18,999,11,0
10555,ANTH 349,ANTH,349,1,12677,HISTORIES OF VIOLENCE,Lecture(In Person On Campus Learners),3,A, Dey Hall,307, TuTh , 12:30 - 13:45,"["" Smit,Douglas Karel""]",24,24,999,3,0
10556,ANTH 360,ANTH,360,1,13458,LATIN AM ECON AND SOC,Lecture(In Person On Campus Learners),3,A, Hanes Hall,112, TuTh , 14:00 - 15:15,"["" COLLOREDO-MANSFELD,RUDOLF J""]",32,18,999,0,0
10557,ANTH 361,ANTH,361,1,10659,COMMUNITY IN INDIA AND,S.(In Person On Campus Learners),ASIALecture 3,A, Alumni Bldg,207, TuTh , 14:00 - 15:15,"["" MIDDLETON,CHRISTOPHER TOWNSEND""]",32,15,999,0,0
10558,ANTH 370,ANTH,370,1,10088,DESCENDANTS PROJECT,Lecture(In Person On Campus Learners),4,A, Alumni Bldg,203, TuTh , 11:00 - 12:15,"["" HINSON,GLENN D""]",20,5,999,0,0
10559,ANTH 375,ANTH,375,1,13467,MEMORY IN SE ASIA,Lecture(In Person On Campus Learners),3,A, Mitchell Hall, 121A , TuTh , 11:00 - 12:15,"["" WIENER,MARGARET J""]",19,5,999,0,0
10560,ANTH 390,ANTH,390,7,13451,SPECIAL TOPICS: MEDICAL ANTH,Lecture(In Person On Campus Learners),3,A, Murphey Hall,302, TuTh , 11:00 - 12:15,"["" Rachok,Dariia""]",17,15,999,0,0
10561,ANTH 393,ANTH,393,73,9764,ANTH INTERNSHIP,Lecture(In Person On Campus Learners),12-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",1,0,999,0,0
10562,ANTH 395,ANTH,395,89,11617,RESEARCH IN ANTHROPOLOGY,Lecture(In Person On Campus Learners),6-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",1,0,999,0,0
10563,ANTH 396,ANTH,396,81,10370,IND READ OR STUDY ANTHRO,Lecture(In Person On Campus Learners),6-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",1,0,999,0,0
10564,ANTH 405,ANTH,405,1,13457,"MENTAL HEALTH, PSYCH",&(In Person On Campus Learners),CULTURELecture 3,A, Gardner Hall,1, MWF , 12:20 - 13:10,"["" CHUA,JOCELYN LIM""]",32,32,999,31,0
10565,ANTH 406,ANTH,406,1,7120,NATIVE WRITERS,Lecture(In Person On Campus Learners),3,A, Alumni Bldg,205, MWF , 12:20 - 13:10,"["" LAMBERT,VALERIE L""]",15,15,999,6,0
10566,ANTH 409,ANTH,409,1,14888,CURATING THINGS,Lecture(In Person On Campus Learners),3,A, Alumni Bldg,404, TuTh , 12:30 - 13:45,"["" Fitts,Mary Elizabeth"","" Lapham,Heather Alynn""]",16,16,999,0,0
10567,ANTH 414,ANTH,414,1,11715,LAB METH: HUMAN OSTEO,Lecture(In Person On Campus Learners),3,A, Alumni Bldg,404, MW , 14:30 - 15:45,"["" Hilton,Charles Edward""]",16,16,999,9,0
10568,ANTH 419,ANTH,419,1,13465,ANTHROPOLOGICAL GIS,Lecture(In Person On Campus Learners),3,A, Greenlaw Hall,319, TuTh , 09:30 - 10:45,"["" WEST,COLIN THOR""]",24,24,999,0,0
10569,ANTH 448,ANTH,448,1,8636,"HEALTH & MEDICINE, AMER SOUTH",Lecture(In Person On Campus Learners),3,A, Woollen Gym,304, MWF , 11:15 - 12:05,"["" KING,MARTHA E""]",50,50,999,18,0
10570,ANTH 471,ANTH,471,1,13466,MATERNAL AND CHILD HEALTH,Lecture(In Person On Campus Learners),3,A, Gardner Hall,1, TuTh , 15:30 - 16:45,"["" THOMPSON,AMANDA LOGAN""]",32,32,999,11,0
10571,ANTH 490,ANTH,490,1,8829,UNDERGRAD SEMINAR ANTHRO,Lecture(In Person On Campus Learners),3,A, Mitchell Hall,9, MWF , 12:20 - 13:10 Systems Thinking & C,"["" PRICE,CHARLES R""]",24,8,999,0,0
10572,ANTH 520,ANTH,520,1,7506,LING PHONETICS,Lecture(In Person On Campus Learners),3,A, Dey Hall,304, MWF , 12:20 - 13:10,"["" MORETON,ALFRED E""]",5,5,999,0,0
10573,ANTH 541,ANTH,541,1,8225,SOCIOLINGUISTICS,Lecture(In Person On Campus Learners),3,A, Dey Hall,304, MWF , 13:25 - 14:15,"["" MORA-MARIN,DAVID F""]",5,3,999,0,0
10574,ANTH 582,ANTH,582,1,13462,FIELDWORK MED ANTH,Lecture(In Person On Campus Learners),3,A, Dey Hall,306, TuTh , 12:30 - 13:45,"["" RIVKIN-FISH,MICHELE R""]",20,9,999,0,0
10575,ANTH 585,ANTH,585,1,17608,ANTH OF SCI,Lecture(In Person On Campus Learners),3,A, Phillips Hall,220, TuTh , 12:30 - 13:45,"["" Salm,Melissa Jill""]",24,0,0,0,0
10576,ANTH 590,ANTH,590,3,15349,TOPICS IN ANTH I,Lecture(In Person On Campus Learners),3,A, Alumni Bldg,205, W , 15:30 - 18:00,"["" NELSON,CHRISTOPHER T""]",20,0,999,0,0
10577,ANTH 674,ANTH,674,1,13459,ISSUES IN CULTURAL HERITAGE,Lecture(In Person On Campus Learners),3,A, Alumni Bldg,205, TuTh , 15:30 - 16:45,"["" MCANANY,PATRICIA A""]",24,17,999,0,0
10578,ANTH 701,ANTH,701,1,6470,THEORY AND ETHNOGRAPHY,Lecture(In Person On Campus Learners),3,A, Alumni Bldg,308, Tu , 09:30 - 12:00,"["" Smit,Douglas Karel"","" COLLOREDO-MANSFELD,RUDOLF J""]",12,6,999,0,0
10579,ANTH 714,ANTH,714,1,10661,ISSUES-PARTICIPATORY RESEARCH,Lecture(In Person On Campus Learners),1,A, Alumni Bldg,207, W , 17:45 - 20:15,"["" Stuesse,Angela Christine""]",12,12,999,0,0
